state,City,Two Wheeler,Three Wheeler,Four Wheeler,Goods Vehicles,Public Service Vehicle,Special Category Vehicles,Ambulance/Hearses,Construction Equipment Vehicle,Station Name,Operator,Usage Type,Connector Type,Power (kW),station_id,location,charging_type,num_chargers,voltage_level,current_flow,power_consumed,power_loss,voltage_fluctuation
Manipur,Imphal,287,22038,12306,40739,25061,46959,10632,38391,Green Charge,Ather Energy,Public,CCS,231,7332,Highway,Fast,4,528.18,295.53,156.09,11.36,4.04
Ladakh,Leh,5510,32406,9763,43134,47757,41484,32859,9887,Charge Point,Tata Power,Private,CCS,168,7333,Rural,Slow,33,329.15,297.91,98.06,2.24,1.31
Ladakh,Leh,31383,15629,5826,38052,1154,22503,15912,40820,EV Hub,IOCL,Private,CHAdeMO,10,7334,Highway,Fast,49,302.29,41.59,12.57,0.28,9.65
Punjab,Amritsar,19843,9509,29413,48907,27062,29348,6825,4342,Power Station,ChargeZone,Commercial,GB/T,326,7335,Semi-Urban,Fast,7,772.1,381.54,294.59,3.57,11.75
Ladakh,Leh,18368,29162,41842,21031,48817,31991,26929,40037,Power Station,EVRE,Private,CCS,209,7336,Highway,Ultra Fast,47,693,460.68,319.25,14.61,12.71
Gujarat,Vadodara,47522,24741,35855,1103,25978,46662,14531,36845,Green Charge,IOCL,Private,Type 2,309,7337,Rural,Fast,48,353.39,232.76,82.26,5.29,7.95
Manipur,Imphal,118,25480,48035,34404,20772,32047,35814,18442,EV Hub,Tata Power,Commercial,GB/T,135,7338,Rural,Slow,29,290.99,162.05,47.15,3.44,3.2
Odisha,Bhubaneswar,45137,3104,34959,35354,17675,33303,3987,14994,FastCharge,Fortum,Commercial,Type 2,308,7339,Rural,Slow,37,454.7,207.34,94.28,6.77,9.43
Delhi,New Delhi,48297,18371,48438,16655,30217,31500,17361,4869,EV Hub,Tata Power,Commercial,CCS,62,7340,Semi-Urban,Ultra Fast,36,455.58,61.17,27.87,2.06,3.64
Meghalaya,Shillong,39690,43364,48154,46542,39281,1419,15241,3968,Charge Point,ChargeZone,Commercial,CCS,348,7341,Urban,Slow,28,436.89,423.83,185.17,4.41,14.91
Telangana,Hyderabad,18793,8552,40369,30420,15034,23785,643,2125,Power Station,BPCL,Private,GB/T,192,7342,Semi-Urban,Ultra Fast,22,510.62,126.7,64.7,4.18,10.18
Karnataka,Bangalore,10219,30130,33740,40197,39247,32592,2416,49198,EV Hub,ChargeZone,Commercial,Type 2,54,7343,Semi-Urban,Slow,3,382.86,394.48,151.03,3.65,9.85
Tripura,Agartala,39177,5617,32541,3908,34351,26727,33310,920,Green Charge,BPCL,Private,Type 2,33,7344,Rural,Fast,49,543.89,23.44,12.75,0.54,1.34
Bihar,Gaya,10143,30601,38363,8055,14298,43696,2773,14265,FastCharge,Ather Energy,Private,CHAdeMO,151,7345,Urban,Ultra Fast,43,220.75,328.01,72.41,5.56,8.38
Assam,Silchar,36658,2496,8217,38174,6135,36945,30690,38276,EV Hub,Tata Power,Public,GB/T,349,7346,Rural,Ultra Fast,6,517.53,401.49,207.78,17.62,10.38
Andaman and Nicobar Islands,Port Blair,20991,46969,944,4203,44246,23232,22522,41645,FastCharge,IOCL,Private,GB/T,107,7347,Semi-Urban,Slow,32,511.61,460.4,235.55,14.55,10.27
Punjab,Ludhiana,38368,17453,45711,36884,37595,49664,32313,49067,EV Hub,IOCL,Commercial,Type 2,125,7348,Urban,Slow,25,781.69,70.46,55.08,3.88,13.79
Jammu and Kashmir,Jammu,14572,3814,13588,18431,7383,32206,15054,12536,Power Station,Fortum,Commercial,GB/T,340,7349,Rural,Slow,42,590.16,292.73,172.76,13.57,1.05
Maharashtra,Mumbai,30512,24947,15110,18820,27500,11455,38564,9460,FastCharge,IOCL,Commercial,GB/T,84,7350,Semi-Urban,Fast,4,339.45,168.75,57.28,1.49,11.01
Assam,Guwahati,18801,4908,12260,38932,36852,32159,14312,12063,Power Station,BPCL,Private,CCS,157,7351,Semi-Urban,Slow,4,273.11,480.63,131.26,1.72,8.84
Manipur,Imphal,35910,7817,21294,35840,27600,28326,17729,15217,Power Station,BPCL,Private,CHAdeMO,179,7352,Urban,Slow,23,302.29,127.9,38.66,0.79,8.19
Haryana,Gurgaon,32391,27132,32817,8555,2185,29502,8767,35442,FastCharge,BPCL,Public,CCS,46,7353,Urban,Ultra Fast,1,330.41,394.1,130.21,6.06,7.36
Maharashtra,Mumbai,6970,28516,42529,32126,13374,7599,39412,22312,Green Charge,Tata Power,Private,Type 2,73,7354,Urban,Fast,8,741.16,111.43,82.59,4.3,4.33
Lakshadweep,Kavaratti,22476,44900,19214,32675,44428,44786,49851,31154,Charge Point,Tata Power,Private,GB/T,191,7355,Highway,Ultra Fast,3,321.76,240.04,77.24,0.81,2.7
Assam,Guwahati,5841,8892,24381,11681,27593,8487,22456,27688,Green Charge,IOCL,Private,CCS,230,7356,Semi-Urban,Slow,11,341.27,402.48,137.35,5.1,11.79
Jammu and Kashmir,Jammu,34508,6862,43080,34450,37781,11509,3070,27404,Power Station,IOCL,Public,GB/T,325,7357,Rural,Ultra Fast,5,442.98,197.08,87.3,1.89,3.89
Arunachal Pradesh,Itanagar,10704,31596,45761,5681,41549,30572,47814,41882,FastCharge,Ather Energy,Commercial,GB/T,313,7358,Urban,Ultra Fast,38,760.38,332.39,252.74,3.8,12.64
Goa,Panaji,40995,37023,1789,36234,12569,38102,26069,9093,Power Station,Ather Energy,Public,CHAdeMO,80,7359,Highway,Fast,39,344.8,445.5,153.61,13.36,6.59
Dadra and Nagar Haveli and Daman and Diu,Daman,9583,14454,4658,18577,31323,14449,41990,3768,Power Station,Fortum,Private,CCS,206,7360,Semi-Urban,Ultra Fast,5,784.61,496.3,389.4,29.3,3.62
Punjab,Amritsar,3420,2926,21716,4340,11006,8818,8417,35754,Charge Point,ChargeZone,Commercial,CHAdeMO,99,7361,Rural,Fast,23,525.37,348.1,182.88,14.88,4.7
Dadra and Nagar Haveli and Daman and Diu,Daman,9266,5047,42416,877,42768,28984,47820,47188,Power Station,BPCL,Commercial,CCS,48,7362,Semi-Urban,Ultra Fast,17,753.2,193.16,145.49,13.67,3.88
Tripura,Agartala,6355,45296,23109,37927,21408,9443,8800,46513,Green Charge,Tata Power,Commercial,Type 2,335,7363,Rural,Fast,36,586.65,146.44,85.91,5.09,0.54
Meghalaya,Shillong,32241,23127,17117,40560,18433,18313,18696,34067,FastCharge,Ather Energy,Public,GB/T,58,7364,Urban,Ultra Fast,11,483.51,382.84,185.11,16.58,7.49
Gujarat,Vadodara,43068,17958,3139,34441,419,15769,16442,14235,Charge Point,Fortum,Private,CCS,167,7365,Semi-Urban,Slow,45,616.72,274.67,169.39,9.65,5.47
Haryana,Gurgaon,16612,29129,16836,24913,30927,26036,9788,6718,FastCharge,ChargeZone,Public,CCS,300,7366,Urban,Slow,14,499.18,309.99,154.74,14.74,14.91
Ladakh,Leh,4056,29211,10330,392,44937,6330,22946,7634,FastCharge,ChargeZone,Public,GB/T,194,7367,Highway,Ultra Fast,30,449.83,454.2,204.31,16.86,10.3
Assam,Guwahati,35308,43040,25746,42267,47976,10182,13835,21327,Charge Point,ChargeZone,Private,Type 2,205,7368,Highway,Fast,30,229.99,486.4,111.87,1.53,4.23
Bihar,Gaya,19401,230,19105,26003,34061,2099,11996,4744,Green Charge,EVRE,Commercial,Type 2,164,7369,Highway,Ultra Fast,26,704.36,330.67,232.91,5.11,6.44
Rajasthan,Jaipur,23430,47357,44166,41017,30857,42935,29276,30643,EV Hub,IOCL,Public,CCS,134,7370,Semi-Urban,Fast,31,521.06,475.82,247.93,13.45,5.97
Rajasthan,Jaipur,5963,18171,10400,20316,3091,18283,21617,16204,EV Hub,ChargeZone,Commercial,CHAdeMO,343,7371,Rural,Fast,3,232.57,291.4,67.77,2.94,6.92
Karnataka,Mysore,27958,3436,38894,25690,8713,3939,132,7011,Green Charge,Tata Power,Private,GB/T,71,7372,Highway,Slow,5,377.9,305.27,115.36,1.4,6.42
Chandigarh,Chandigarh,9528,2061,15618,31606,41163,20279,35377,1136,Green Charge,Tata Power,Commercial,Type 2,210,7373,Urban,Ultra Fast,18,323.06,425.91,137.59,6.48,8.33
Uttarakhand,Dehradun,21009,36812,32090,32095,39792,23031,40234,13293,Green Charge,ChargeZone,Public,CCS,241,7374,Semi-Urban,Slow,5,577.95,146.35,84.58,1.85,13.05
West Bengal,Kolkata,49967,37382,4565,33326,26465,36066,10769,49300,Green Charge,Ather Energy,Public,GB/T,145,7375,Semi-Urban,Fast,49,642.76,124.79,80.21,4.48,8.77
Tamil Nadu,Chennai,12589,12951,48008,41260,600,28470,17966,30845,Green Charge,Tata Power,Public,CCS,277,7376,Urban,Fast,31,671.75,203.32,136.58,7.8,11.73
Bihar,Gaya,25257,48043,764,38202,30912,32608,21577,31927,Green Charge,ChargeZone,Private,GB/T,245,7377,Highway,Slow,7,319.77,164.61,52.64,4.74,2.97
Himachal Pradesh,Shimla,43232,42499,36089,38807,40369,5147,38876,14100,Power Station,Ather Energy,Commercial,CCS,255,7378,Rural,Ultra Fast,25,224.64,310.54,69.76,6.05,14.15
Jammu and Kashmir,Jammu,43370,40983,6674,40911,42516,24205,47856,47818,Charge Point,Tata Power,Commercial,CHAdeMO,36,7379,Highway,Ultra Fast,7,572.36,78.25,44.79,0.69,10.53
Himachal Pradesh,Shimla,40583,49901,23445,33715,35295,44685,16551,18178,EV Hub,Ather Energy,Private,CHAdeMO,84,7380,Highway,Slow,22,535.03,310.54,166.15,5.8,9.33
Goa,Panaji,41270,1203,26564,37388,37602,29695,35379,30327,Green Charge,BPCL,Public,GB/T,133,7381,Semi-Urban,Slow,20,361.93,224.6,81.29,5.41,12.15
Chandigarh,Chandigarh,26338,3806,33389,36729,5704,46584,32309,33439,EV Hub,ChargeZone,Private,CHAdeMO,89,7382,Urban,Ultra Fast,11,420.45,241.96,101.73,9.33,1.99
Rajasthan,Jaipur,29024,37324,48419,29990,47679,30145,15809,40280,Green Charge,Tata Power,Private,CHAdeMO,65,7383,Urban,Slow,13,266.58,323.35,86.2,6.29,13.02
Jharkhand,Jamshedpur,49483,27598,22749,41286,15526,24238,31350,19862,Charge Point,BPCL,Private,CCS,47,7384,Rural,Fast,49,248.77,402.92,100.23,5.6,9.2
Arunachal Pradesh,Itanagar,10453,47972,37350,2388,30348,340,14718,12039,FastCharge,BPCL,Public,CCS,117,7385,Highway,Ultra Fast,18,286.96,356.65,102.34,2.69,1.8
Andhra Pradesh,Visakhapatnam,28477,48960,13870,19274,48659,6454,39366,2317,FastCharge,IOCL,Public,GB/T,242,7386,Rural,Ultra Fast,10,307.65,16.06,4.94,0.06,13.07
Assam,Silchar,10751,27190,23991,8915,35583,35508,26139,24683,FastCharge,Tata Power,Commercial,Type 2,211,7387,Rural,Fast,34,717.54,11.49,8.24,0.61,6.34
Uttar Pradesh,Lucknow,116,44046,20483,49242,15305,29545,31411,1701,Green Charge,ChargeZone,Private,CCS,155,7388,Urban,Fast,42,241.79,148.49,35.9,2.52,12.74
Uttarakhand,Dehradun,2680,17670,15480,7168,13924,23199,30846,36248,Power Station,EVRE,Commercial,CHAdeMO,68,7389,Highway,Ultra Fast,24,511.83,96.16,49.22,3.85,0.81
Chhattisgarh,Raipur,2449,30373,12567,28805,44071,36813,18474,24393,EV Hub,EVRE,Private,Type 2,67,7390,Highway,Ultra Fast,25,299,163.56,48.9,1.48,3.38
Uttarakhand,Dehradun,904,46928,38504,29084,8526,9974,4162,37354,Charge Point,EVRE,Public,Type 2,222,7391,Semi-Urban,Fast,4,636.35,388.5,247.22,5.34,1.36
Bihar,Gaya,22082,911,17170,36761,46886,48621,3804,39161,Power Station,Ather Energy,Public,CHAdeMO,161,7392,Highway,Ultra Fast,20,297.1,50.01,14.86,0.48,12.29
Telangana,Hyderabad,23285,26862,11459,22976,27165,41577,5279,9483,Power Station,ChargeZone,Commercial,Type 2,150,7393,Highway,Ultra Fast,18,402.8,188.27,75.84,6.32,12.74
Nagaland,Kohima,7251,26150,38205,31399,37901,322,38680,41434,Charge Point,Ather Energy,Private,CCS,41,7394,Rural,Slow,38,465,407.96,189.7,11.9,12.93
Jharkhand,Ranchi,27210,28960,12288,24683,4344,17843,22306,36023,Power Station,Tata Power,Commercial,GB/T,288,7395,Urban,Slow,22,601.74,313.18,188.45,18.53,4.96
Maharashtra,Mumbai,14070,24335,39037,14515,32813,49424,1371,32332,Green Charge,EVRE,Public,CHAdeMO,272,7396,Highway,Fast,29,599.15,375.66,225.08,20.16,11.96
Chandigarh,Chandigarh,22336,1276,21813,18863,24312,22899,3709,7225,FastCharge,ChargeZone,Commercial,Type 2,115,7397,Semi-Urban,Ultra Fast,18,365.4,472.36,172.6,5.13,0.45
Punjab,Amritsar,10783,21089,18014,37362,36489,15146,13057,9125,EV Hub,IOCL,Private,CCS,89,7398,Highway,Fast,45,670.59,217.5,145.85,12.71,14.69
Nagaland,Kohima,3864,30174,23036,14089,35130,16443,49488,28785,Power Station,BPCL,Commercial,Type 2,334,7399,Urban,Fast,11,665.36,263.09,175.05,16.54,1.89
Puducherry,Puducherry,25771,36036,25985,6541,22644,2446,30040,20588,Charge Point,Ather Energy,Private,CHAdeMO,108,7400,Semi-Urban,Fast,23,597.84,40.53,24.23,2.11,14.47
Meghalaya,Shillong,36720,30038,25693,41896,4863,19203,18420,7161,Charge Point,BPCL,Private,CCS,43,7401,Urban,Fast,22,392.51,436.96,171.51,6.91,6.89
Chandigarh,Chandigarh,45534,46414,22834,24566,43297,3200,13006,24845,Power Station,BPCL,Public,CCS,84,7402,Urban,Ultra Fast,49,230.81,286,66.01,2.16,1.85
Chhattisgarh,Raipur,16964,47518,28934,30939,24860,6654,15088,18911,EV Hub,BPCL,Private,GB/T,221,7403,Highway,Ultra Fast,45,306.95,28.29,8.68,0.68,2.48
West Bengal,Kolkata,1182,36186,43179,48410,42051,40105,32828,3425,Green Charge,Fortum,Public,CHAdeMO,28,7404,Semi-Urban,Fast,12,538.97,498.79,268.83,23.89,3.1
Jammu and Kashmir,Jammu,14697,12444,6107,32645,13086,27252,48781,29364,Charge Point,Ather Energy,Commercial,CHAdeMO,78,7405,Highway,Fast,37,534.9,218.78,117.03,10.86,1.03
Tripura,Agartala,7277,12497,32228,11208,38760,35101,4172,10697,Power Station,Ather Energy,Public,Type 2,60,7406,Semi-Urban,Slow,35,405.87,337.32,136.91,10.85,13.47
Goa,Margao,30161,43931,34600,15078,18909,3907,38885,41681,Power Station,Tata Power,Commercial,Type 2,76,7407,Rural,Fast,47,336.7,249.21,83.91,5.17,9.42
Andhra Pradesh,Guntur,205,35550,15343,42324,44642,49285,22700,27573,EV Hub,Tata Power,Commercial,GB/T,107,7408,Semi-Urban,Slow,5,553.13,209.68,115.98,4.62,13.23
Tripura,Agartala,22380,2709,44220,21392,24954,34896,9575,14765,Power Station,BPCL,Private,GB/T,200,7409,Highway,Fast,43,622.2,428.15,266.39,22.41,5.76
Meghalaya,Shillong,29916,16425,39956,9332,26621,26083,49360,21426,Charge Point,EVRE,Public,Type 2,205,7410,Rural,Ultra Fast,34,224.41,213.13,47.83,1.51,7.85
Bihar,Gaya,37442,20932,41068,11996,5649,36958,36501,37939,Charge Point,IOCL,Commercial,Type 2,207,7411,Rural,Slow,7,418.53,352.42,147.5,12.31,14.65
Gujarat,Surat,12839,41228,38678,18543,23634,21254,6302,5119,Charge Point,BPCL,Public,CCS,327,7412,Highway,Fast,31,430.04,261.52,112.46,5.58,1.05
Andhra Pradesh,Guntur,33721,11920,15303,1924,15371,43256,39072,17278,FastCharge,BPCL,Public,CCS,49,7413,Urban,Slow,19,571.91,100.98,57.75,5.19,0.54
Jammu and Kashmir,Jammu,48553,28604,38762,28439,39730,49509,46381,8978,Green Charge,Tata Power,Public,CCS,123,7414,Semi-Urban,Ultra Fast,6,794.78,357.92,284.47,12.72,14.04
Odisha,Cuttack,13846,5508,15381,3689,39034,28002,18314,27618,Power Station,BPCL,Private,CCS,105,7415,Urban,Fast,9,427.7,34.85,14.91,1.19,10.59
Goa,Margao,8362,38749,14623,37046,34745,18975,36543,9511,Charge Point,Ather Energy,Public,Type 2,14,7416,Rural,Slow,8,293.28,428.06,125.54,7.69,3.96
Madhya Pradesh,Indore,19146,45136,42159,27900,25648,38061,39774,20131,Charge Point,Fortum,Commercial,CHAdeMO,148,7417,Semi-Urban,Slow,44,652.16,122.93,80.17,1.98,7.58
Andaman and Nicobar Islands,Port Blair,18170,11178,36955,33690,7437,2374,2728,11218,EV Hub,Tata Power,Public,Type 2,279,7418,Highway,Fast,4,496.4,106.25,52.74,1.02,0.4
Uttar Pradesh,Lucknow,27698,48311,6529,41461,16311,3048,42112,31930,Power Station,ChargeZone,Public,GB/T,45,7419,Urban,Slow,38,357.52,259.73,92.86,6.14,9.92
Madhya Pradesh,Indore,29701,22084,36354,25662,22852,10520,19430,36895,Green Charge,BPCL,Public,GB/T,211,7420,Rural,Fast,20,767.23,279.45,214.4,17.79,9.79
Uttarakhand,Dehradun,33896,45297,40658,25810,20773,20933,30681,10267,EV Hub,IOCL,Commercial,Type 2,238,7421,Rural,Fast,16,712.59,367.94,262.19,18.31,5.78
Uttarakhand,Dehradun,25791,1714,20365,3810,33057,38724,11643,3859,Green Charge,EVRE,Public,GB/T,167,7422,Highway,Ultra Fast,49,718.78,95.4,68.57,3.79,2.37
Assam,Guwahati,12877,18472,486,26526,1721,9928,14380,36323,EV Hub,Tata Power,Private,GB/T,192,7423,Urban,Fast,11,539.8,207.93,112.24,5.14,6.44
Tamil Nadu,Coimbatore,14270,14761,31669,45941,24238,41638,37224,43134,FastCharge,ChargeZone,Public,GB/T,89,7424,Highway,Fast,3,381.36,399.86,152.49,5.22,7.65
Karnataka,Bangalore,35570,28571,27587,46664,3364,49960,14225,44108,FastCharge,IOCL,Public,CCS,198,7425,Urban,Fast,36,759.06,178.14,135.22,9.93,9.74
Delhi,New Delhi,39939,9199,33797,29972,27529,27052,6427,30613,FastCharge,Fortum,Private,CCS,170,7426,Rural,Fast,5,725.64,317.08,230.09,12.69,11.05
West Bengal,Kolkata,1701,44922,9484,34799,42179,48969,39121,36475,Charge Point,Fortum,Private,GB/T,264,7427,Highway,Slow,40,687.18,111.06,76.32,5.81,10.16
Nagaland,Kohima,24097,41925,5833,1924,6840,34987,10646,28454,Power Station,Fortum,Private,GB/T,204,7428,Semi-Urban,Fast,29,360.15,211.3,76.1,6.75,14.26
Chandigarh,Chandigarh,49632,5221,2291,6206,16996,41294,21979,18172,Power Station,IOCL,Private,CCS,123,7429,Urban,Slow,8,523.28,37.92,19.84,1.17,11.85
Dadra and Nagar Haveli and Daman and Diu,Daman,11662,3603,4001,24794,12826,11675,14195,24232,EV Hub,BPCL,Commercial,CHAdeMO,316,7430,Highway,Ultra Fast,8,364.44,29.19,10.64,0.25,0.79
Maharashtra,Pune,24065,37695,8076,605,38645,13798,1665,25569,FastCharge,EVRE,Commercial,CCS,123,7431,Urban,Slow,34,312.6,319.87,99.99,6.16,8.95
Uttar Pradesh,Noida,21109,18427,3523,13487,13940,8391,5021,5662,Charge Point,BPCL,Commercial,GB/T,336,7432,Rural,Slow,24,506.3,405.26,205.18,12.59,9.16
Uttarakhand,Dehradun,33061,32508,35205,32623,30579,36258,37973,18231,Charge Point,Ather Energy,Commercial,CHAdeMO,174,7433,Rural,Fast,46,765.8,80.66,61.77,0.93,5.56
Nagaland,Kohima,38949,38918,16713,18597,8635,23184,33579,11359,Green Charge,Ather Energy,Public,CCS,42,7434,Urban,Slow,9,270.71,326.75,88.45,8.56,2.98
Rajasthan,Udaipur,38927,7392,34038,41360,22757,6753,835,11224,EV Hub,EVRE,Commercial,Type 2,129,7435,Semi-Urban,Fast,5,636.34,463.86,295.17,11.61,11.97
Nagaland,Kohima,30236,26450,25787,34102,48160,36308,19256,21302,Green Charge,Ather Energy,Private,CCS,183,7436,Highway,Slow,3,738.87,29.59,21.86,1.52,10.09
Chandigarh,Chandigarh,47824,39167,43164,42255,13917,770,13817,20035,Green Charge,IOCL,Public,CHAdeMO,107,7437,Rural,Fast,48,618.22,59.69,36.9,3.04,13.66
Goa,Margao,46370,20311,22660,39825,31750,38447,41210,21980,Green Charge,BPCL,Commercial,CHAdeMO,325,7438,Rural,Ultra Fast,29,322.37,278.32,89.72,1.79,12.73
Kerala,Kochi,24201,10076,29996,796,45210,45361,20749,40829,FastCharge,ChargeZone,Private,GB/T,189,7439,Highway,Ultra Fast,3,236.23,433.23,102.34,9.56,6.51
Gujarat,Ahmedabad,26277,28039,23144,13822,15248,15236,31120,4177,EV Hub,IOCL,Commercial,CCS,158,7440,Urban,Ultra Fast,31,475.57,361.75,172.04,10.42,12.88
Tripura,Agartala,48728,34971,16067,12620,28435,8784,15236,43004,Green Charge,Fortum,Commercial,CCS,145,7441,Highway,Slow,42,408.46,485.27,198.21,11.2,8.43
Jharkhand,Jamshedpur,8444,40389,14864,1113,16466,38120,6528,11921,Power Station,Fortum,Public,Type 2,280,7442,Semi-Urban,Slow,3,232.82,118.26,27.53,2.34,1.36
Madhya Pradesh,Bhopal,1231,16388,23591,31026,14919,36971,40131,7958,Power Station,Fortum,Public,GB/T,221,7443,Semi-Urban,Ultra Fast,21,761.05,478.68,364.3,7.44,9.71
Haryana,Gurgaon,48529,13302,850,7177,43288,40713,4744,29631,EV Hub,Fortum,Public,Type 2,127,7444,Highway,Slow,26,530.61,250.25,132.79,1.37,8.8
Rajasthan,Udaipur,34941,33188,32686,45215,39970,29564,11615,42959,Power Station,EVRE,Private,CHAdeMO,240,7445,Urban,Slow,43,428.06,133.3,57.06,1.65,14.09
Lakshadweep,Kavaratti,45847,48130,35411,20670,46272,16730,6569,12430,Power Station,ChargeZone,Commercial,Type 2,145,7446,Rural,Ultra Fast,26,397.59,316.82,125.96,1.47,10.42
Uttarakhand,Dehradun,29891,28304,34251,885,7941,42423,33517,23945,Power Station,IOCL,Commercial,CHAdeMO,284,7447,Semi-Urban,Ultra Fast,4,593.8,375.35,222.88,16.28,13.68
Meghalaya,Shillong,6633,18159,46516,42972,42984,2148,22607,48545,Green Charge,BPCL,Public,CCS,346,7448,Rural,Fast,38,472.62,256.6,121.27,5.8,11.54
Uttar Pradesh,Lucknow,45598,45395,28167,12420,4498,41329,15122,29257,Green Charge,ChargeZone,Commercial,GB/T,282,7449,Urban,Ultra Fast,7,765.86,479.25,367.04,5.94,7.96
Chhattisgarh,Raipur,34029,36142,12380,11216,49317,26764,7472,42926,Power Station,EVRE,Commercial,Type 2,104,7450,Urban,Fast,18,281.95,217.82,61.41,3.28,3.88
Dadra and Nagar Haveli and Daman and Diu,Daman,35945,20872,44908,39950,32248,24550,6131,31399,Charge Point,Fortum,Public,CCS,230,7451,Semi-Urban,Ultra Fast,6,453.22,75.43,34.19,0.52,13.99
Andhra Pradesh,Guntur,9965,43360,9601,23548,7155,39972,33780,7117,FastCharge,EVRE,Commercial,GB/T,69,7452,Semi-Urban,Slow,5,431.18,184.23,79.44,1.05,14.91
Ladakh,Leh,3343,22512,23652,30505,42833,12886,12620,35266,EV Hub,Fortum,Public,CCS,62,7453,Highway,Slow,25,362.89,400.99,145.52,10.2,14.22
Tamil Nadu,Coimbatore,32059,34453,2524,10006,46054,10250,44033,41185,Charge Point,BPCL,Public,Type 2,192,7454,Urban,Ultra Fast,46,592.79,369.68,219.14,16.27,13.02
Goa,Margao,29543,183,8087,9306,36546,2220,19453,24171,EV Hub,Tata Power,Private,CCS,311,7455,Rural,Fast,45,675.03,414.6,279.87,5.25,2.25
Uttarakhand,Dehradun,49031,1387,36779,44148,13498,5338,42141,19967,Charge Point,BPCL,Commercial,CCS,320,7456,Highway,Fast,2,764.33,125.29,95.76,4.14,8.55
Sikkim,Gangtok,46336,16765,45280,16327,21337,6256,5313,1024,Charge Point,Fortum,Public,GB/T,158,7457,Urban,Ultra Fast,30,235.36,177.32,41.73,2.37,2.29
Sikkim,Gangtok,24140,19864,15228,9696,48719,2327,18782,35038,Charge Point,BPCL,Commercial,CCS,281,7458,Urban,Fast,6,599.72,137.24,82.31,3.1,1.98
Gujarat,Surat,32703,38751,23679,32419,44582,35893,18169,881,Green Charge,Tata Power,Commercial,Type 2,62,7459,Highway,Slow,44,241.18,247.14,59.61,4.43,4.27
Mizoram,Aizawl,46256,23285,45536,14240,9388,50,3536,4288,Charge Point,BPCL,Public,Type 2,28,7460,Urban,Slow,23,753.04,24.97,18.8,1.53,6.76
Goa,Margao,14993,38623,40094,18756,20842,20943,42652,8106,Power Station,IOCL,Private,CHAdeMO,218,7461,Semi-Urban,Slow,33,535.6,499.24,267.39,24.81,11.7
Tripura,Agartala,22730,15875,39543,45362,37880,15861,26462,2182,Green Charge,Ather Energy,Private,Type 2,149,7462,Highway,Fast,13,679.07,360.01,244.47,9.41,2.93
Tamil Nadu,Chennai,13260,25760,49562,40040,44295,33743,40799,2638,Green Charge,IOCL,Commercial,CCS,340,7463,Urban,Fast,38,244.71,390.3,95.51,8.84,6.75
Mizoram,Aizawl,340,13280,2221,4609,22791,267,19388,6217,FastCharge,Tata Power,Private,Type 2,109,7464,Semi-Urban,Fast,36,642.63,421.69,270.99,13.65,0.38
Chandigarh,Chandigarh,20296,47322,38974,45821,14802,3867,29785,7045,Green Charge,IOCL,Commercial,GB/T,47,7465,Semi-Urban,Slow,10,433.73,372.14,161.41,7.45,2.89
Lakshadweep,Kavaratti,46251,1763,27921,35403,42758,33646,33835,46201,Charge Point,IOCL,Private,CCS,304,7466,Semi-Urban,Slow,41,773.78,228.24,176.61,12.22,11.94
Haryana,Gurgaon,35558,12891,29666,16837,23642,21963,28165,43010,Green Charge,Tata Power,Private,CHAdeMO,189,7467,Highway,Slow,24,538.81,414.44,223.3,14.41,9.11
Puducherry,Puducherry,41890,46327,15098,44354,44900,45278,37080,25567,Charge Point,IOCL,Private,CHAdeMO,43,7468,Rural,Ultra Fast,37,288.73,349.85,101.01,6.86,12.39
Sikkim,Gangtok,8459,3938,7711,34169,14769,35431,20466,40681,EV Hub,Fortum,Public,CHAdeMO,179,7469,Highway,Fast,28,416.6,390.03,162.49,12.92,3.21
Nagaland,Kohima,37588,3055,15039,44177,19837,33477,1434,10488,Charge Point,ChargeZone,Commercial,CCS,55,7470,Urban,Ultra Fast,25,797.69,473.62,377.8,37.63,6.56
Jharkhand,Ranchi,36388,20429,40238,26149,7943,18038,42225,27993,FastCharge,ChargeZone,Commercial,CCS,147,7471,Highway,Fast,3,603.4,199.08,120.12,8.97,7.4
Tripura,Agartala,12583,28975,30305,49603,17496,18835,38355,2539,Power Station,IOCL,Public,GB/T,95,7472,Semi-Urban,Slow,5,771.84,299.28,231,20.75,1.87
Ladakh,Leh,31982,1543,10224,870,34951,10164,9417,10073,Power Station,BPCL,Private,CCS,244,7473,Semi-Urban,Slow,10,561.58,136.28,76.53,1.35,7.97
Kerala,Kochi,47895,42669,23345,16505,28786,15268,46234,21089,Green Charge,EVRE,Commercial,CCS,78,7474,Rural,Fast,18,733.31,304,222.93,3.06,1.36
Rajasthan,Jaipur,44769,31193,9281,10624,11109,28733,26689,36728,FastCharge,IOCL,Commercial,CHAdeMO,21,7475,Rural,Ultra Fast,13,335.3,173.86,58.3,3.18,3.85
Rajasthan,Udaipur,8043,11516,18928,46823,9650,44477,9422,33786,FastCharge,EVRE,Commercial,CCS,216,7476,Rural,Slow,18,676.49,136.41,92.28,9.01,14.95
Himachal Pradesh,Shimla,2569,32441,26677,37105,4092,30010,22797,2779,Charge Point,EVRE,Public,CCS,205,7477,Semi-Urban,Ultra Fast,45,347.95,228.26,79.42,5.13,14.95
